gov-unnamed-3-party,gov-unnamed-1-seats,gov-Utbildningsminister-name,gov-Utbildningsminister-party,gov-Finansminister-name,seatsInParliament-FP,gov-Statsminister-name,seatsInParliament-M,seatsInParliament-S,LKFV,seatsInParliament-V,seatsInParliament-SD,gov-Utrikesminister-name,gov-unnamed-0-seats,seatsInParliament-C,gov-unnamed-1-party,gov-Finansminister-party,gov-unnamed-3-seats,gov-unnamed-0-party,gov-unnamed-2-party,gov-Statsminister-party,gov-unnamed-2-seats,VDNAMN,seatsInParliament-MP,gov-Utrikesminister-party,seatsInParliament-KD,seatsInParliament-PP,seatsInParliament-SPI,seatsInParliament-OVR
,2,Ibrahim Baylan,S,Ulla Andersson,23,Stefan Löfven,95,129,01230530,25,25,Bodil Ceballos,11,,V,V,,S,MP,S,3,33 Emaljvägen/Kopparvägen,34,MP,18,,,
,2,Ibrahim Baylan,S,Ulla Andersson,25,Stefan Löfven,89,130,01230531,29,22,Bodil Ceballos,11,,V,V,,S,MP,S,3,34 Ulvsättra/Skogstorp,37,MP,17,,,
,2,Tomas Tobé,M,Anders Wijkman,26,Fredrik Reinfeldt,137,94,01230532,16,22,Cecilia Wikström,12,,FP,KD,,M,KD,M,2,35 Kolarängen/Villastaden,29,FP,25,,,
,,Tomas Tobé,M,Anders Borg,30,Fredrik Reinfeldt,181,54,01230533,,15,Carl Bildt,16,21,,M,,M,,M,,36 Stäket,26,M,22,,,
,2,Jan Björklund,FP,Anders Borg,44,Fredrik Reinfeldt,159,57,01230534,,,Cecilia Wikström,14,25,FP,M,,M,,M,,30 Bolinder strand,29,FP,35,,,
,,Tomas Tobé,M,Anders Borg,25,Fredrik Reinfeldt,187,55,01250101,,20,Carl Bildt,16,35,,M,,M,,M,,Munsö,27,M,,,,
,1,Jan Björklund,FP,Anders Borg,26,Fredrik Reinfeldt,149,56,01250201,,17,Cecilia Wikström,15,36,FP,M,,M,,M,,Adelsö,33,FP,32,,,
,,Tomas Tobé,M,Anders Borg,35,Fredrik Reinfeldt,182,53,01250301,,,Carl Bildt,16,24,,M,,M,,M,,Ekerö 1 Ekerö C Gällstaö,30,M,25,,,
,2,Jan Björklund,FP,Anders Borg,41,Fredrik Reinfeldt,142,76,01250302,,,Cecilia Wikström,14,21,FP,M,,M,,M,,Ekerö 2 Ekebyhov,36,FP,33,,,
,2,Jan Björklund,FP,Anders Borg,41,Fredrik Reinfeldt,173,51,01250303,,,Cecilia Wikström,14,27,FP,M,,M,,M,,Ekerö 3 Träkvista Ö,29,FP,28,,,
,,Tomas Tobé,M,Anders Borg,37,Fredrik Reinfeldt,203,33,01250304,,,Carl Bildt,16,29,,M,,M,,M,,Ekerö 4 Träkvista S,18,M,29,,,
,,Tomas Tobé,M,Anders Borg,43,Fredrik Reinfeldt,175,44,01250305,,,Carl Bildt,16,30,,M,,M,,M,,Ekerö 5 Tappström,25,M,32,,,
,,Tomas Tobé,M,Anders Borg,37,Fredrik Reinfeldt,190,41,01250306,,,Carl Bildt,16,26,,M,,M,,M,,Ekerö 6 Träkvista V,24,M,31,,,
,,Tomas Tobé,M,Anders Borg,33,Fredrik Reinfeldt,192,35,01250307,,,Carl Bildt,16,29,,M,,M,,M,,Ekerö 7 Sundby Helgö,30,M,30,,,
